Symbol,Total_Trades,Realized_PnL,Current_Position,Position_Status
TQQQ,80,485.42,0,CLOSED
UBER,47,449.84,0,CLOSED
SERV,18,228.92,0,CLOSED
SOUN,15,191.0,20,OPEN
IONS,29,140.48,0,CLOSED
MSOS,13,124.08,0,CLOSED
SDOW,11,122.9,0,CLOSED
ITA,14,117.43,0,CLOSED
MNST,3,97.92,0,CLOSED
DK,6,82.8,0,CLOSED
CLSK,5,62.98,0,CLOSED
ARKG,11,54.3,15,OPEN
ZETA,3,52.14,0,CLOSED
GRAL,8,47.62,0,CLOSED
SGHC,4,44.05,0,CLOSED
JHX,6,41.63,0,CLOSED
BE,7,24.55,0,CLOSED
BTSG,2,24.0,0,CLOSED
MTSR,4,22.25,0,CLOSED
IAU,21,21.94,0,CLOSED
COP,3,20.95,0,CLOSED
AAPL,7,19.29,0,CLOSED
EIX,2,17.7,0,CLOSED
KRC,5,16.8,0,CLOSED
AMZU,3,13.54,0,CLOSED
SLB,4,13.3,0,CLOSED
FAS,2,12.16,0,CLOSED
KO,2,11.52,0,CLOSED
USO,8,8.45,0,CLOSED
DFDV,5,6.75,150,OPEN
SMTC,7,5.15,0,CLOSED
CTVA,5,4.41,0,CLOSED
UDOW,38,3.62,0,CLOSED
ES,2,3.44,0,CLOSED
USB,2,3.2,0,CLOSED
WB,2,0.06,0,CLOSED
DFEN,2,-0.4,0,CLOSED
CVS,5,-0.64,0,CLOSED
GEN,3,-1.38,0,CLOSED
DUG,2,-2.1,0,CLOSED
CP,2,-3.0,0,CLOSED
PSQ,3,-3.24,0,CLOSED
QQQM,6,-4.29,0,CLOSED
WMT,8,-5.0,-40,OPEN
PLTD,2,-6.4,0,CLOSED
NI,5,-8.62,0,CLOSED
CPB,4,-9.1,0,CLOSED
BILI,2,-11.1,0,CLOSED
GLNG,3,-12.2,0,CLOSED
PAYO,3,-12.94,0,CLOSED
SMMT,3,-15.8,0,CLOSED
BBY,2,-16.7,0,CLOSED
KVYO,2,-18.4,0,CLOSED
CADE,3,-18.7,0,CLOSED
AUR,2,-32.25,0,CLOSED
EXE,7,-42.1,0,CLOSED
ASPI,6,-43.5,25,OPEN
TOST,17,-48.9,0,CLOSED
CSCO,3,-54.8,0,CLOSED
NAIL,4,-82.41,0,CLOSED
THAR,2,-88.0,0,CLOSED
PLTR,4,-117.3,0,CLOSED
APA,9,-120.85,0,CLOSED
TWLO,3,-175.85,0,CLOSED
WRD,3,-186.38,0,CLOSED
ASTS,9,-197.0,0,CLOSED
SQQQ,25,-378.16,0,CLOSED
